117,Steal Big Steal Little,"[35, 18]"
118,Race the Sun,"[28, 12, 35, 18, 10751]"
119,The Boys of St. Vincent,[18]
120,Boomerang,"[35, 10749]"
121,Chungking Express,"[18, 35, 10749]"
122,The Star Maker,"[18, 10749]"
123,Flirting with Disaster,"[35, 10749]"
124,The Neverending Story III: Escape from Fantasia,[14]
125,The Silences of the Palace,[18]
126,Jupiter's Wife,[]
127,Pie in the Sky,"[35, 10749]"
128,Angela,"[35, 18]"
129,Frankie Starlight,"[18, 10749, 10752]"
130,Jade,"[28, 53, 9648, 10749]"
131,Nueba Yol,"[35, 18, 10749]"
132,Sonic Outlaws,"[10402, 99]"
133,Down Periscope,[35]
134,From the Journals of Jean Seberg,[99]
135,Man of the Year,[35]
136,The Neon Bible,[18]
137,Target,[]
138,Up Close & Personal,"[18, 10749]"
139,The Birdcage,[35]
140,Virgin Mary,[18]
141,The Brothers McMullen,"[35, 18, 10749]"
142,Bad Boys,"[28, 35, 80, 53]"
143,The Amazing Panda Adventure,"[28, 12, 18, 10751]"
144,The Basketball Diaries,"[18, 80]"
145,An Awfully Big Adventure,"[10749, 18, 35]"
146,Amateur,"[80, 35, 18, 53]"
147,Apollo 13,[18]
148,Rob Roy,[12]
149,The Addiction,"[18, 27]"
150,Batman Forever,"[28, 80, 14]"
151,Belle de Jour,"[18, 10749]"
152,Beyond Rangoon,"[18, 53]"
153,Blue in the Face,[35]
154,Canadian Bacon,"[28, 35]"
155,Casper,"[14, 35, 10751]"
156,Clockers,"[9648, 80, 18]"
157,Congo,"[28, 12, 18, 9648, 878, 53]"
158,Crimson Tide,"[28, 53, 18]"
159,Crumb,[99]
160,Desperado,"[53, 28, 80]"
161,Devil in a Blue Dress,"[18, 9648, 53]"
162,Die Hard: With a Vengeance,"[28, 53]"
163,The Doom Generation,"[28, 35, 80, 18]"
164,Feast of July,"[18, 80]"
165,First Knight,"[28, 12, 18, 10749]"
166,Free Willy 2 - The Adventure Home,[12]
167,Hackers,"[28, 80, 53, 18]"
168,Jeffrey,"[35, 18, 10749]"
169,Johnny Mnemonic,"[12, 28, 18, 878, 53]"
170,Judge Dredd,[878]
171,Jury Duty,"[35, 18]"
172,Kids,"[18, 80]"
173,Living in Oblivion,"[18, 35]"
174,Lord of Illusions,"[9648, 27, 53]"
175,Love & Human Remains,"[35, 18]"
176,Mad Love,"[18, 10751, 10749]"
177,Mallrats,"[10749, 35]"
178,Mighty Morphin Power Rangers: The Movie,"[28, 12, 878, 10751, 14]"
179,Moonlight and Valentino,"[35, 18, 10749]"
180,Mute Witness,"[53, 10769]"
181,Nadja,"[27, 53]"
182,The Net,"[80, 18, 9648, 53, 28]"
183,Nine Months,[35]
184,Party Girl,[35]
185,The Prophecy,"[14, 27, 53]"
186,Reckless,"[14, 35, 18]"
187,Safe,[18]
188,The Scarlet Letter,"[18, 36, 10749]"
189,The Show,[99]
190,Showgirls,[18]
191,Smoke,"[35, 18]"
192,Something to Talk About,[35]
193,Species,"[878, 27, 28]"
194,The Stars Fell on Henrietta,[18]
195,Strange Days,"[80, 18, 878, 53]"
196,The Umbrellas of Cherbourg,"[18, 10749]"
197,The Tie That Binds,[53]
198,Three Wishes,"[18, 14]"
199,Total Eclipse,"[18, 10749]"
200,"To Wong Foo, Thanks for Everything! Julie Newmar",[35]
201,Under Siege 2: Dark Territory,"[28, 53]"
202,Unstrung Heroes,"[35, 18, 10751]"
203,Unzipped,[99]
204,A Walk in the Clouds,"[18, 10749]"
205,Waterworld,"[12, 28]"
206,White Man's Burden,[18]
207,Wild Bill,"[28, 37]"
208,The Browning Version,[18]
209,Bushwhacked,"[12, 28, 35, 80, 10751]"
210,Burnt by the Sun,[18]
211,Before the Rain,"[18, 10752]"
212,Before Sunrise,"[18, 10749]"
213,Billy Madison,[35]
214,The Babysitter,"[18, 53]"
215,Boys on the Side,"[35, 18]"
216,The Cure,"[18, 10751]"
217,Castle Freak,"[53, 18, 27, 9648]"
218,Circle of Friends,"[18, 10751, 10749]"
219,Clerks,[35]
220,Don Juan DeMarco,"[10749, 18, 35]"
221,Disclosure,"[18, 53, 80, 9648, 10749]"
222,Dream Man,[53]
223,Drop Zone,"[28, 12, 53]"
224,Destiny Turns on the Radio,"[80, 35, 14]"
225,Death and the Maiden,"[18, 53, 9648]"
226,Dolores Claiborne,"[80, 18, 9648]"
227,Dumb and Dumber,[35]
228,Eat Drink Man Woman,"[35, 18, 10749]"
229,Exotica,"[18, 9648]"
230,Exit to Eden,"[53, 35, 80, 10749]"
231,Ed Wood,"[35, 18, 36]"
232,French Kiss,"[35, 10749]"
233,Forget Paris,"[35, 18, 10749]"
234,Far from Home: The Adventures of Yellow Dog,"[28, 12, 18, 10751]"
235,A Goofy Movie,"[10749, 16, 10751, 35, 12]"
236,Hideaway,"[18, 53]"
237,Fluke,"[18, 10751, 14]"
238,Farinelli,"[36, 18]"
239,Gordy,"[18, 10751, 14]"
240,Gumby: The Movie,"[14, 16, 878, 10751]"
241,The Glass Shield,"[18, 28, 53, 80]"
242,Hoop Dreams,[99]
243,Heavenly Creatures,"[18, 14]"
244,Houseguest,"[35, 10751]"
245,Immortal Beloved,"[18, 10402, 10749]"
246,Heavyweights,"[35, 10751, 18]"
247,The Hunted,"[28, 53]"
248,I.Q.,"[35, 18, 10749]"
249,Interview with the Vampire,"[27, 10749]"
250,Jefferson in Paris,"[18, 10749]"
251,The Jerky Boys,"[35, 80]"
252,Junior,"[35, 10751, 10749]"
253,Just Cause,"[28, 18, 9648, 53]"
254,A Kid in King Arthur's Court,"[12, 14, 35, 878, 10751]"
255,Kiss of Death,"[28, 80, 18, 53]"
256,Star Wars,"[12, 28, 878]"
257,Little Women,"[18, 10749]"
258,A Little Princess,"[18, 10751, 14]"
259,Ladybird Ladybird,[18]
260,L'Enfer,"[80, 18]"
261,Like Water for Chocolate,"[18, 10749]"
262,Legends of the Fall,"[12, 18, 10749, 10752]"
263,Major Payne,"[12, 35, 10751]"
264,Little Odessa,"[28, 18]"
265,Mi Vida Loca,"[80, 18]"
266,Love Affair,"[18, 10749]"
267,Losing Isaiah,[18]
268,The Madness of King George,"[35, 18, 36]"
269,Mary Shelley's Frankenstein,"[18, 27, 878, 10749]"
270,Man of the House,"[28, 35, 10751]"
271,Mixed Nuts,"[35, 18, 10749]"
272,Milk Money,"[35, 10749]"
273,Miracle on 34th Street,"[14, 18, 10751]"
274,Miami Rhapsody,"[35, 10749]"
275,My Family,"[35, 18]"
276,Murder in the First,"[80, 18]"
277,Nobody's Fool,"[18, 35]"
278,Nell,"[18, 53]"
279,New Jersey Drive,"[80, 18]"
280,New York Cop,"[28, 53, 80, 18]"
281,Beyond Bedlam,[27]
282,Nemesis 2 - Nebula,"[878, 28, 53]"
283,Nina Takes a Lover,"[18, 10749]"
284,Natural Born Killers,"[80, 53, 18]"
285,Only You,"[35, 18, 10749]"
286,Once Were Warriors,[18]
287,Poison Ivy II: Lily,"[18, 10749, 53]"
288,Outbreak,"[28, 18, 878, 53]"
289,Leon: The Professional,"[53, 80, 18]"
290,The Perez Family,"[35, 18, 10749]"
291,A Pyromaniac's Love Story,"[35, 18, 10749]"
292,Pulp Fiction,"[53, 80]"
293,Panther,[18]
294,Pushing Hands,"[35, 18]"
295,Priest,"[18, 10749]"
296,Quiz Show,"[36, 18]"
297,Picture Bride,"[18, 36]"
298,Queen Margot,"[18, 36]"
299,The Quick and the Dead,"[28, 37]"
300,Roommates,"[18, 35]"
301,Prêt-à-Porter,"[18, 35]"
302,Three Colors: Red,"[18, 9648, 10749]"
303,Three Colors: Blue,"[18, 10402, 9648]"
304,Three Colors: White,"[35, 18, 9648]"
305,"Red Firecracker, Green Firecracker",[18]
306,Rent-a-Kid,"[35, 10751, 10770]"
307,Relative Fear,"[27, 18]"
308,Stuart Saves His Family,"[35, 18]"
309,The Swan Princess,[16]
310,The Secret of Roan Inish,"[18, 10751, 14]"
311,The Specialist,"[28, 53]"
312,Stargate,"[28, 12, 878]"
313,The Santa Clause,"[14, 18, 35, 10751]"
314,The Shawshank Redemption,"[18, 80]"
315,Shallow Grave,"[80, 53]"
316,Suture,"[18, 53]"
317,Strawberry and Chocolate,"[35, 18]"
318,Swimming with Sharks,"[80, 35]"
319,The Sum of Us,"[35, 18, 10749]"
320,Senior Trip,[35]
321,To Live,"[18, 10749, 10752]"
322,Tank Girl,"[28, 35, 14, 878]"
323,Tales from the Crypt: Demon Knight,"[27, 35, 53]"
324,Star Trek: Generations,"[878, 28, 12, 53]"
325,Tales from the Hood,"[80, 27, 53]"
326,Tom & Viv,"[18, 10749]"
327,Village of the Damned,"[53, 27, 878]"
328,Tommy Boy,[35]
329,Vanya on 42nd Street,"[18, 10749]"
330,The Underneath,"[53, 80]"
331,The Walking Dead,"[18, 10752]"
332,What's Eating Gilbert Grape,"[10749, 18]"
333,Virtuosity,"[28, 80, 878, 53]"
334,While You Were Sleeping,"[35, 18, 10749]"
335,The War,[18]
336,Double Happiness,"[35, 10749]"
337,Muriel's Wedding,"[18, 35, 10749]"
338,The Baby-Sitters Club,"[35, 18, 10751]"
339,Ace Ventura: Pet Detective,"[35, 9648]"
340,"The Adventures of Priscilla, Queen of the Desert","[18, 35]"
341,Backbeat,"[18, 10402]"
342,Bitter Moon,"[53, 18, 10749]"
343,Bullets Over Broadway,"[28, 35, 53]"
344,Clear and Present Danger,"[28, 18, 53]"
345,The Client,"[18, 53, 80, 9648]"
346,"Corrina, Corrina","[35, 18, 10751, 10749]"
347,Crooklyn,"[35, 18]"
348,The Crow,"[14, 28, 53]"
349,Cobb,[18]
350,The Flintstones,"[14, 35, 10751]"
351,Forrest Gump,"[35, 18, 10749]"
352,Four Weddings and a Funeral,"[35, 18, 10749]"
353,Higher Learning,"[10749, 18, 80]"
354,I Like It Like That,"[35, 18, 10749]"
355,I Love Trouble,"[28, 35, 10749]"
356,It Could Happen to You,"[35, 18, 10749]"
357,The Jungle Book,"[12, 18, 10751]"
358,"The Wonderful, Horrible Life of Leni Riefenstahl","[99, 10769]"
359,The Lion King,"[10751, 16, 18]"
360,Little Buddha,"[18, 36]"
361,New Nightmare,"[27, 53, 9648, 14]"
362,The Mask,"[10749, 35, 80, 14]"
363,Maverick,"[28, 12, 35, 18, 37]"
364,Mrs. Parker and the Vicious Circle,[18]
365,The Naked Gun 33⅓: The Final Insult,"[35, 80]"
366,The Paper,"[35, 18]"
367,Reality Bites,[18]
368,Red Rock West,"[80, 18, 53]"
369,Ri¢hie Ri¢h,"[35, 10751]"
370,Safe Passage,[18]
371,The River Wild,"[28, 12, 80, 53]"
372,Speed,"[28, 12, 80]"
373,Speechless,"[35, 10749]"
374,Timecop,"[53, 878, 28, 80]"
375,True Lies,"[28, 53]"
376,When a Man Loves a Woman,"[18, 10749]"
377,Wolf,[14]
378,Wyatt Earp,"[18, 28, 37]"
379,Bad Company,"[28, 80, 10749, 53]"
380,A Man of No Importance,"[35, 18]"
381,S.F.W.,"[35, 18]"
382,A Low Down Dirty Shame,"[28, 35, 80]"
383,"Boys Life: Three Stories of Love, Lust, and Liberation",[18]
384,Colonel Chabert,[18]
385,"Faster, Pussycat! Kill! Kill!","[28, 80]"
386,Jason's Lyric,"[80, 18, 10749]"
387,The Secret Adventures of Tom Thumb,"[16, 878]"
388,Street Fighter,"[28, 12, 53]"
389,Coldblooded,"[28, 35]"
390,Desert Winds,[]
391,Fall Time,"[28, 12, 80, 18, 53]"
392,The Fear,"[27, 53]"
393,Frank and Ollie,[99]
394,Girl in the Cadillac,"[10749, 12, 80, 18]"
395,Homage,"[53, 18]"
396,Mirage,"[28, 53]"
397,Open Season,[35]
398,Dos Crímenes,[]
399,Brother Minister: The Assassination of Malcolm X,[99]
400,Highlander: The Final Dimension,"[28, 14, 878]"
401,Federal Hill,[]
402,In the Mouth of Madness,"[27, 9648, 53]"
403,8 Seconds,"[18, 10749]"
404,Above the Rim,"[80, 18]"
405,Addams Family Values,"[35, 10751, 14]"
406,Martin Lawrence: You So Crazy,[35]
407,The Age of Innocence,"[18, 10749]"
408,Airheads,"[35, 80, 10402]"
409,The Air Up There,"[35, 10751]"
410,Another Stakeout,"[28, 35]"
411,Bad Girls,"[28, 12, 35, 18, 37]"
412,Barcelona,"[35, 18, 10749]"
413,Being Human,"[18, 35, 14]"
414,The Beverly Hillbillies,[35]
415,Beverly Hills Cop III,"[28, 35, 80]"
416,Black Beauty,"[28, 12, 18, 10751]"
417,Blink,"[9648, 80, 18, 53]"
418,Blown Away,"[18, 28, 53]"
419,Blue Chips,[18]
420,Blue Sky,"[18, 10749]"
421,Body Snatchers,"[27, 878, 53]"
422,Boxing Helena,"[18, 10749]"
423,A Bronx Tale,"[18, 80]"
424,Cabin Boy,[35]
425,Calendar Girl,"[18, 35]"
426,Carlito's Way,"[28, 80, 18, 53]"
427,City Slickers II: The Legend of Curly's Gold,"[28, 35, 18, 37]"
428,Clean Slate,"[35, 53, 9648]"
429,Cliffhanger,"[28, 12, 53]"
430,Coneheads,"[35, 878, 10751]"
431,Color of Night,"[18, 9648, 10749, 53]"
432,Cops & Robbersons,"[28, 35, 10751]"
433,The Cowboy Way,"[37, 28, 35]"
434,Dangerous Game,[18]
435,Dave,[35]
436,Dazed and Confused,"[35, 18]"
437,Demolition Man,"[80, 28, 878]"
438,The Endless Summer 2,[99]
439,Even Cowgirls Get the Blues,"[37, 18, 35, 10749]"
440,Fatal Instinct,[35]
441,Farewell My Concubine,[18]
442,The Favor,"[18, 35, 10749]"
443,Fearless,[18]
444,Fear of a Black Hat,[35]
445,With Honors,"[35, 18]"
446,Flesh and Bone,"[18, 9648, 10749]"
447,Widows' Peak,"[35, 53, 9648, 10749, 10769]"
448,For Love or Money,"[35, 10749]"
449,The Firm,"[18, 9648, 53]"
450,Free Willy,"[10751, 12]"
451,Fresh,"[80, 18, 53]"
452,The Fugitive,"[12, 28, 53, 80, 9648]"
453,Geronimo: An American Legend,"[36, 28, 18, 37]"
454,The Getaway,"[18, 28, 53]"
455,Getting Even with Dad,"[10751, 35, 80]"
456,Go Fish,"[18, 10749]"
457,A Good Man in Africa,"[35, 18]"
458,Guilty as Sin,"[18, 53]"
459,Hard Target,"[28, 12, 80, 53]"
460,Heaven & Earth,"[36, 10752, 28, 18]"
461,Hot Shots! Part Deux,"[28, 35, 10752]"
462,Live Nude Girls,[35]
463,The Englishman Who Went Up a Hill But Came Down a Mountain,"[18, 35, 10749]"
464,The House of the Spirits,"[10749, 18]"
465,House Party 3,[35]
466,The Hudsucker Proxy,"[35, 18]"
467,I'll Do Anything,"[35, 18]"
468,In the Army Now,[35]
469,In the Line of Fire,"[28, 18, 53, 80, 9648]"
470,In the Name of the Father,[18]
471,The Inkwell,"[35, 18, 10749]"
472,What's Love Got to Do with It,"[18, 10402]"
473,Jimmy Hollywood,[35]
474,Judgment Night,"[28, 53, 80]"
475,Jurassic Park,"[12, 878]"
476,Kalifornia,"[53, 80]"
477,Killing Zoe,"[28, 80, 18, 53]"
478,King of the Hill,[18]
479,Lassie,"[28, 12, 18, 10751]"
480,Last Action Hero,"[12, 14, 28, 35, 10751]"
481,Life With Mikey,"[35, 10751]"
482,Lightning Jack,"[28, 35, 37]"
483,M. Butterfly,"[18, 10749]"
484,Made in America,[35]
485,Malice,"[18, 80]"
486,The Man without a Face,[18]
487,Manhattan Murder Mystery,"[35, 9648]"
488,Menace II Society,"[18, 28, 80]"
489,Executive Decision,"[28, 12, 18, 53]"
490,In the Realm of the Senses,"[18, 10749]"
491,What Happened Was...,"[53, 35, 18, 10749]"
492,Much Ado About Nothing,"[18, 35, 10749]"
493,Mr. Jones,"[18, 10749]"
494,Mr. Wonderful,"[35, 10749]"
495,Mrs. Doubtfire,"[35, 18, 10751]"
496,Naked,"[35, 18]"
497,The Next Karate Kid,[12]
498,The New Age,"[35, 18]"
499,No Escape,"[28, 18, 878, 53]"
500,North,"[35, 18, 10751, 14, 878]"
501,Orlando,"[10749, 18, 14]"
502,A Perfect World,"[80, 18, 53]"
503,Philadelphia,[18]
504,The Piano,"[18, 10749]"
505,Poetic Justice,"[18, 10749]"
506,The Program,[18]
507,The Puppet Masters,"[27, 878, 53]"
508,Radioland Murders,"[35, 80, 18, 10402, 9648, 10749]"
509,The Ref,[35]
510,The Remains of the Day,"[18, 10749]"
511,Renaissance Man,"[35, 10752]"
512,Rising Sun,"[28, 18, 53]"
513,The Road to Wellville,"[35, 10749]"
514,RoboCop 3,"[28, 12, 80, 878, 53]"
515,Robin Hood: Men in Tights,[35]
516,Romeo Is Bleeding,"[28, 80, 18, 53]"
517,Romper Stomper,"[28, 18, 53]"
518,Ruby in Paradise,"[18, 10749]"
519,Rudy,[18]
520,The Saint of Fort Washington,[18]
521,Savage Nights,[18]
522,Schindler's List,"[18, 36, 10752]"
523,The Scout,"[35, 18]"
524,Searching for Bobby Fischer,[18]
525,Second Best,[18]
526,The Secret Garden,"[18, 10751, 14]"
527,Serial Mom,"[35, 80, 27, 53]"
528,The Shadow,"[12, 14, 28, 53, 878]"
529,Shadowlands,"[18, 10749]"
530,Short Cuts,"[35, 18]"
531,A Simple Twist of Fate,"[18, 10751]"
532,Sirens,"[35, 18]"
533,Six Degrees of Separation,"[9648, 18, 35]"
534,Sleepless in Seattle,"[35, 18, 10749]"
535,Sliver,"[18, 53]"
536,Blade Runner,"[878, 18, 53]"
537,Son in Law,"[35, 18, 10749]"
538,So I Married an Axe Murderer,"[35, 80, 10749]"
539,Striking Distance,"[80, 28, 9648, 53]"
540,Harem,"[36, 18, 10749]"
541,Super Mario Bros.,"[12, 35, 10751, 14]"
542,Surviving the Game,"[28, 12, 53, 80]"
543,Terminal Velocity,"[28, 53]"
544,Thirty Two Short Films About Glenn Gould,"[18, 10402]"
545,Threesome,"[35, 18, 10751, 10749]"
546,The Nightmare Before Christmas,"[14, 16, 10751]"
547,The Three Musketeers,"[28, 12, 35]"
548,Tombstone,"[28, 12, 18, 36, 37]"
549,Trial by Jury,"[18, 28, 53]"
550,True Romance,"[28, 53, 80, 10749]"
551,The War Room,"[99, 36]"
552,The Pagemaster,"[14, 878, 10751, 16]"
553,"Paris, France","[18, 35]"
554,"The Beans of Egypt, Maine",[]
555,Killer,"[53, 18, 10749]"
556,Welcome to the Dollhouse,"[35, 18]"
557,Germinal,"[18, 10749]"
558,Chasers,"[35, 10749]"
559,Cronos,"[18, 27, 53]"
560,Naked in New York,"[35, 10749]"
561,Kika,"[35, 18]"
562,Bhaji on the Beach,"[35, 18]"
563,Little Big League,"[35, 10751]"
564,The Slingshot,[18]
565,Wide Eyed and Legless,"[10770, 18, 10749, 35]"
566,Foreign Student,"[18, 10749]"
567,"Ciao, Professore!","[35, 10769]"
568,Spanking the Monkey,"[35, 18]"
569,The Little Rascals,"[10749, 35, 10751]"
570,À la mode,[35]
571,Andre,"[18, 10751, 12]"
572,The Escort,"[53, 80, 18]"
573,Princess Caraboo,"[35, 18, 36, 9648]"
574,The Celluloid Closet,"[36, 99]"
575,Café au Lait,"[18, 35, 10749, 10769]"
576,Dear Diary,"[35, 18]"
577,I Don't Want to Talk About It,"[10749, 18]"
578,The Brady Bunch Movie,[35]
579,Home Alone,"[35, 10751]"
580,Ghost,"[14, 18, 53, 9648, 10749]"
581,Aladdin,"[16, 10751, 35, 12, 14, 10749]"
582,Terminator 2: Judgment Day,"[28, 53, 878]"
583,Dances with Wolves,"[12, 18, 37]"
584,Tough and Deadly,"[53, 28, 18]"
585,Batman,"[14, 28]"
586,The Silence of the Lambs,"[80, 18, 53]"
587,Snow White and the Seven Dwarfs,"[14, 16, 10751]"
588,Beauty and the Beast,"[10749, 10751, 16, 14, 10402]"
589,Pinocchio,"[16, 10751]"
590,Pretty Woman,"[10749, 35]"
591,Window to Paris,"[35, 18, 14]"
592,The Wild Bunch,"[12, 37]"
593,Love and a .45,"[80, 53]"
594,The Wooden Man's Bride,"[18, 10769, 10749]"
595,A Great Day in Harlem,[]
596,Bye Bye Love,"[35, 10749]"
597,One Fine Day,"[35, 10749]"
598,Candyman: Farewell to the Flesh,[27]
599,Century,"[10749, 18]"
600,Fargo,"[80, 18, 53]"
601,Homeward Bound II: Lost in San Francisco,"[12, 35, 18, 10751]"
602,Heavy Metal,"[16, 878]"
603,Hellraiser: Bloodline,"[27, 53, 878]"
604,The Pallbearer,"[35, 10749]"
605,Jane Eyre,"[18, 10749]"
606,Loaded,"[18, 9648, 53]"
607,Bread and Chocolate,"[35, 10769]"
608,The Aristocats,"[16, 35, 10751, 12]"
609,The Flower of My Secret,"[18, 10749]"
610,Two Much,"[35, 10749]"
611,Ed,"[35, 10751]"
612,Scream of Stone,"[12, 18, 99]"
613,My Favorite Season,[18]
614,A Modern Affair,[]
615,Condition Red,"[53, 28, 18]"
616,Halfaouine: Boy of the Terraces,"[35, 18]"
617,A Thin Line Between Love and Hate,"[35, 53, 80, 10749]"
618,The Last Supper,"[35, 53, 80, 18]"
619,Primal Fear,"[80, 18, 9648, 53]"
620,Rude,[]
621,Carried Away,"[18, 10749]"
622,All Dogs Go to Heaven 2,"[10749, 16, 10751, 12, 14]"
623,Land and Freedom,"[18, 36, 10752, 10749]"
624,Denise Calls Up,[35]
625,Theodore Rex,"[14, 878, 10751]"
626,A Family Thing,"[35, 18]"
627,Frisk,"[18, 53]"
628,Sgt. Bilko,"[35, 10751]"
629,Jack & Sarah,"[35, 18, 10749]"
630,Girl 6,[35]
631,Diabolique,"[18, 27, 9648, 53]"
632,"Little Indian, Big City","[12, 18, 35, 10751]"
633,Roula,"[10749, 18]"
634,Peanuts – Die Bank zahlt alles,[35]
635,Happy Weekend,[35]
636,Nelly and Monsieur Arnaud,"[18, 10749]"
637,Courage Under Fire,"[18, 53, 9648, 10752]"
638,Mission: Impossible,"[12, 28, 53]"
639,Cold Fever,"[18, 35]"
640,Moll Flanders,"[18, 10749]"
641,The Superwife,[35]
642,"301, 302","[27, 9648, 53]"
643,DragonHeart,[14]
644,Und keiner weint mir nach,[18]
645,My Mother's Courage,[18]
646,Eddie,"[28, 35]"
647,Yankee Zulu,"[18, 35]"
648,Billy's Holiday,[]
649,Purple Noon,"[80, 18, 53]"
650,August,"[10749, 35, 18]"
651,James and the Giant Peach,"[12, 16, 10751]"
652,Fear,"[18, 53, 10749]"
653,Kids in the Hall: Brain Candy,[35]
654,Faithful,"[35, 80, 18]"
655,Underground,"[10752, 18, 35]"
656,All Things Fair,"[10752, 18, 10749]"
657,Bloodsport II,"[28, 53]"
658,Pather Panchali,[18]
659,The World of Apu,[18]
660,Mystery Science Theater 3000: The Movie,"[35, 878]"
661,Tarantella,[]
662,Space Jam,"[16, 35, 18, 10751, 14]"
663,Barbarella,[878]
664,Hostile Intentions,"[53, 28, 18]"
665,They Bite,"[35, 27, 878]"
666,Some Folks Call It a Sling Blade,"[18, 53]"
667,The Run of the Country,"[18, 10749]"
668,Alphaville,"[18, 878, 9648]"
669,Coup de Torchon,[18]
